a_id,balance
H8MyH1bjghaacyFYKqJMcnWfqw4UjSuxz1,1.0028014041e+10
H8bR3JFE8mhy5pGK2QGL36wyHLMMTmjHte,0
H8crwSsRXn8DiuLnjzSuEzRFW6dujTtrE4,0
H8dheWGsy5QVTeYHrhCkFhHrWUGzfkWx8j,0
H8dsHq889TrF6LGpHuU5F2XJ1zYii7sKSg,1030153744
H8enqfiH6iACN9QCT7sqhiS8dmWAotPD3a,0
H8ffN9EPdHTKZ2vRe4NoHCoEVywAauGWFy,5.09100021e+09
H8gdp3ArTJRDpuEWg1s4xVZmNWywtWHb91,2128623323
H8jAuM32uJQBXjMrgLoL4Jd4cr7mVZL6i1,9.404730924e+09
H8jGV8tWDRKSbtxVofhk6H9iUiVHk3oanp,1707933266
H8k4RfnvU1ztbKgeLn6Y37xPgCn1S3QBLe,0
H8mNbzYspJJyoui2LcFCEqUuzP9VkyHePe,757617690
H8n6u4b96SkAJWGwGPnxP2qW5Q6aNH5F6b,100000000
H8oV7tHFMgnFuSKqxesPHUXKyo282vf6KG,6.468164988e+09
H8pK3g4T9bFoLyeQ2YGLjJMv45d2LFTDRv,761599163
H8pvzz3dQUALuXRyM8zghmyEpzNgoMUaqg,1.250974562e+10
HFtP5aJhhWkzQdm4WRjJ5i7ZFWhRGsFT8d,0
HPFpwzMZNRvJSPAStYUULEhTSKtpKEgMtS,372000000
HKznrib3S321UysZ6tTG4g58oKMdQoNibs,558000000
HJ4bYS7p5mgE1Qa2c6p2T1Hz1q6tiRZ54E,0
H7fUYF58ridfct8RntDKeYQV5QpbbSzSym,0
H8PymsG2fLwvgpqjHKskobtutQ2CcLbyPw,5.234055516e+09
H8Q8ePu77NpTV79E4qnXQLK7t3E1Jhtdgo,2.56720974567e+11
H8QMNEyXdh6j5Z8rPsazr9tHGTX1LvnAJ1,245000000
H8QoZS8ViUG1Cufhgh3J39AYW6n8mMMJF7,126633960
H8S4WsQUQ1sRSXsRe6crcbdgDqCSZ2m4su,524727390
H8SNmp5hNKPXnGbCAY2PEuK2WiKZ4RbYYM,299961573
H8SxK2KTHbajqK3BmDZFinn4GUmiFQHEps,2.364540464e+09
H8TVGdGwsbTeKKBN82qSw6dKzScVNrcn1Z,871993436
H8Umtjkd4qxDc3xmwnDN3gKXepwFHLcb3W,1.8975384728e+10
H8Vm3xLMoFpSdGAh3EUnP9VhfdtNN1ZdeK,3.487010002e+10
H8YsVCF1bosbQU9ph43wdbT8KLtYCVVsr3,372231704
H8ZmYSYK7VGi8pYnh8vfSMg7bzKXbN5dUA,140939272
H8r91A6LbPpJALgmzDKNfkjVC7HGfhaiwg,3.908893723e+09
H8uAjpKkT9U999Z2f8JauT3NNGeLH91Tus,4.648429118e+09
H8uPN6hchLJmNCXMdvbiC9ErfThVKAfpLG,0
H8uTSAW583JxmZDxBXkzT242vMY8RFy9uz,169832583
